Filename,transcription,Class,sentiment_label
274.wav, No one likes to talk with you.,Negative,0
275.wav, Мы вон на все похоже.,Negative,0
339.wav, Get out of my home.,Negative,0
292.wav, Your ideologies totally wrong.,Negative,0
340.wav, You have taken wrong decision.,Negative,0
276.wav, No one likes to talk with you.,Negative,0
352.wav, You are very irresponsible.,Negative,0
196.wav, You should think more before you write.,Neutral,1
281.wav, Allahずatesi akariantı,Negative,0
162.wav, Your explanation was good but try to be more precise.,Neutral,1
283.wav, you are a great liar,Negative,0
332.wav, doing something like that,Negative,0
264.wav, You can never be a leader.,Negative,0
291.wav, What rubbish are you talking about?,Negative,0
314.wav,やった!,Negative,0
32.wav, I'll reveal another stupid치는,Positive,2
207.wav, It was good but it can be more better.,Neutral,1
69.wav, You have taken the correct decision.,Positive,2
14.wav, I would like you to do it.,Positive,2
323.wav, Devetem een sylog massage,Negative,0
313.wav, You are talking very rudely.,Negative,0
227.wav, The project was good but it needs more modification.,Neutral,1
263.wav, No caminó el día libre,Negative,0
336.wav, Your idea is very bad.,Negative,0
295.wav, your choice is very bad,Negative,0
36.wav, I am very much proud of you.,Positive,2
218.wav," If you work more hard, you will definitely crack the exam.",Neutral,1
236.wav, You should learn more good manners.,Neutral,1
234.wav, You have done it on time but you can have done it before.,Neutral,1
357.wav, You can never be an ideal of someone.,Negative,0
12.wav, Thank you for your great help.,Positive,2
170.wav, There has never been gain from all loss.,Neutral,1
346.wav, How dare you say that?,Negative,0
262.wav, You can never be a leader.,Negative,0
211.wav, You should try to be more creative.,Neutral,1
231.wav, It is providing me some relief.,Neutral,1
164.wav, You can do a lot better than this,Neutral,1
252.wav, You do not deserve respect.,Negative,0
104.wav, Which wolf willirts you have never seen,Positive,2
299.wav," Had a great time here, 321AH",Negative,0
241.wav, You will now be in trouble.,Negative,0
310.wav, You are fired.,Negative,0
189.wav, योर अड़िया सावन्स भूँड प्लीज इलआबुरेट मोर,Neutral,1
331.wav, you are very foolish person,Negative,0
44.wav,P sägaI will never give upI will never give upI will never give upI 3P Black,Positive,2
248.wav, Turn the學a bought equipment,Negative,0
89.wav, Bυτka,Positive,2
24.wav, Wow wonderful suggestion,Positive,2
246.wav, You do not have common sense.,Negative,0
271.wav, No one likes your suggestions.,Negative,0
55.wav, Everyone likes to take your opinion.,Positive,2
272.wav, No one likes your solutions,Negative,0
333.wav, �� अasty치ukt Chicken Chicken Potato Potato Potato Chicken,Negative,0
46.wav, நீங்கள் மிகவும் நிறுவனம் விடும்புகிறாய்.,Positive,2
151.wav, Please try to concentrate more.,Neutral,1
133.wav, You are more likely to be selected.,Neutral,1
150.wav, You should be more punctual.,Neutral,1
48.wav, நீங்கள் மிகவும் நிறுவனம் சிறிதுக்கொண்டு இருக்கிறாய்.,Positive,2
83.wav, You are a very caring person.,Positive,2
40.wav, a great thanks for your support,Positive,2
318.wav, I never trust you.,Negative,0
316.wav, I never trust you.,Negative,0
103.wav, You are a really humble person.,Positive,2
251.wav, BOOM!,Negative,0
342.wav, You have taken wrong decision.,Negative,0
105.wav, You are a really humble person.,Positive,2
49.wav, You are an idol for many people.,Positive,2
99.wav, You have a great choice.,Positive,2
107.wav, We have Даже,Positive,2
208.wav, You need to work more on it.,Neutral,1
85.wav, वाँ सच्चे गरेत अईटिया,Positive,2
181.wav, You should be more loyal.,Neutral,1
350.wav, referendum en sケ,Negative,0
155.wav, you're und้ ora gustado لو belki means no spring machine,Neutral,1
269.wav, Night Togetherxic,Negative,0
53.wav, СПОКОЙНАЯ МУЗЫКА,Positive,2
288.wav, No one likes you.,Negative,0
245.wav," ""...ilo, do not have supp loh merph.",Negative,0
177.wav, If you try to improve you could be a good leader.,Neutral,1
102.wav, You are my idol.,Positive,2
184.wav, You should try to be more regular.,Neutral,1
223.wav, your voice was good but it could have lower pitch,Neutral,1
169.wav, There has neither been gain nor loss.,Neutral,1
6.wav, You have a great piece.,Positive,2
354.wav, You are very irresponsible.,Negative,0
153.wav, Please try to concentrate more.,Neutral,1
21.wav, You have done a great job.,Positive,2
224.wav, Your rice was good but it should have more fish.,Neutral,1
286.wav, No one likes you.,Negative,0
52.wav, You cook great.,Positive,2
111.wav, � fır илли achsen LP ඈossing  swelling  発呆,Positive,2
347.wav, How will we save them?,Negative,0
154.wav, Your answer is correct but it needs more explanation.,Neutral,1
11.wav, Thank you for the great help.,Positive,2
77.wav, Move out of the way through the platform.,Positive,2
216.wav, you should try more,Neutral,1
167.wav," Do you have a mark 1, but you have a similar fuse?",Neutral,1
328.wav, You should be kicked off from the office.,Negative,0
214.wav, you should try more,Neutral,1
186.wav, You should try to be more regular.,Neutral,1
191.wav, You should explain now.,Neutral,1
179.wav, You should do him no respect.,Neutral,1
68.wav, Уachmentวашка не будет passiert!,Positive,2
279.wav, You should be punished for this act.,Negative,0
200.wav, You can be selected but can also be rejected.,Neutral,1
101.wav," Hello, hello, hello, hello.",Positive,2
156.wav, Your answer is correct but it needs more explanation.,Neutral,1
148.wav, You should be more punctual.,Neutral,1
221.wav, We are very close to the cancer.,Neutral,1
305.wav, I'm not a sandwich person.,Negative,0
100.wav, You are my idol.,Positive,2
140.wav, Please start to improve your attitude.,Neutral,1
63.wav, Your answers are absolutely correct.,Positive,2
233.wav, this is it.,Neutral,1
129.wav, The voice was clear but it was very laggy.,Neutral,1
187.wav, योर आड़े सावन्स भूड प्लीस इलआबुरेट मोर,Neutral,1
139.wav, � mo worthwhileitt try to improve your attitude,Neutral,1
93.wav, you have done a great work,Positive,2
244.wav, You do not have common sense.,Negative,0
90.wav, Your idea is great.,Positive,2
172.wav, your choice was good but not great,Neutral,1
118.wav, You always help the person in need.,Positive,2
293.wav, I have no idea what you're talking about.,Negative,0
270.wav, Mind your language.,Negative,0
232.wav, You have done it on time but you can have done it before.,Neutral,1
47.wav,  venge  LIAMți  під-f imprisoned,Positive,2
147.wav, Your performance was good but you should improve more.,Neutral,1
306.wav, E agora sempre a dispersão.,Negative,0
117.wav, Everyone respects you a lot.,Positive,2
78.wav, You guided me to the correct path.,Positive,2
96.wav, Your voice is wonderful.,Positive,2
242.wav, I'm gonna be in trouble,Negative,0
127.wav, The voice was clear but it was very laggy.,Neutral,1
344.wav, ዌologic.,Negative,0
237.wav, You should learn more good manners.,Neutral,1
201.wav, You can be selected but can also be rejected.,Neutral,1
220.wav, You are very close to the correct answer.,Neutral,1
10.wav, Thank you for your great help.,Positive,2
109.wav,  crucifixing of subtle,Positive,2
126.wav, The food was tasty but it should be less salty.,Neutral,1
337.wav, Get out of my home.,Negative,0
161.wav,  crian g monks clay,Neutral,1
30.wav, You are a very caring person.,Positive,2
5.wav, In the deephelst,Positive,2
329.wav, We're sure we'll get the R from the office.,Negative,0
258.wav, You have done a big mistake.,Negative,0
256.wav, You have done a big mistake.,Negative,0
80.wav, You are the least fundamental person.,Positive,2
39.wav, I understood everything you taught me very well.,Positive,2
120.wav, You always help the person in need.,Positive,2
307.wav, You cook very bad food.,Negative,0
217.wav," If you work more hard, you will definitely crack the exam.",Neutral,1
240.wav, Your result was good but you should do more hard work.,Neutral,1
255.wav, You are a very lazy person.,Negative,0
91.wav, you have done a great work,Positive,2
215.wav, You should come up.,Neutral,1
319.wav, I am very much ashamed of you.,Negative,0
228.wav, The project was good but it needs more modification.,Neutral,1
235.wav, You should learn more good manners.,Neutral,1
137.wav, That sounds great but please tell me more on this.,Neutral,1
353.wav, you have noticed the擊��ำ c,Negative,0
